stage,scenario,n,p,learner,tabicl_estimators,success_count,failure_count,oom_count,bias,rmse,empirical_sd,mean_standard_error,coverage,mean_interval_length,mean_runtime_seconds,mean_l_mse,mean_m_mse,bias_mcse,config,abs_bias,coverage_gap,rmse_rank,runtime_rank,coverage_rank,mean_nuisance_error_product
stage2,smooth,1000,50,tabiclv2_8,8,100,0,0,0.001490665852123,0.0351234753060439,0.0352686147266798,0.035047893982395,0.95,0.1373852198789448,12.879210062001366,0.3692137808574122,0.054523363890626,0.0035268614726679,smooth_n1000_p50,0.001490665852123,0.0,1.0,4.0,1.0,0.141383457157121
stage2,smooth,1000,50,tabiclv2_1,1,100,0,0,0.0001492890763845,0.0358297969757176,0.036009988290187,0.0349159933532254,0.95,0.1368681789135235,4.882586428992218,0.361336565930838,0.0575648848606706,0.0036009988290187,smooth_n1000_p50,0.0001492890763845,0.0,2.0,2.0,1.0,0.14341349217074265
stage2,smooth,1000,50,ensemble,0,100,0,0,-0.0102372843210088,0.0377529579680991,0.0365215287978088,0.0360754235600275,0.95,0.1414130618093634,2143.4620691690056,0.5987206362478174,0.1526174287711825,0.0036521528797808,smooth_n1000_p50,0.0102372843210088,0.0,3.0,7.0,1.0,0.3019017046231592
stage2,smooth,1000,50,xgboost,0,100,0,0,-0.0143271551320329,0.0401324380946636,0.0376767915226212,0.0356376363715732,0.94,0.1396969675648365,216.32163636900484,0.6246156739106978,0.1821389692300982,0.0037676791522621,smooth_n1000_p50,0.0143271551320329,0.01,4.0,5.0,4.0,0.3368559966951969
stage2,smooth,1000,50,random_forest,0,100,0,0,-0.0201460482630691,0.0430233699577527,0.0382066034525122,0.0369969071807239,0.93,0.1450252112271803,262.5300373129989,0.6653405167742763,0.1635882429670215,0.0038206603452512,smooth_n1000_p50,0.0201460482630691,0.0199999999999999,5.0,6.0,5.0,0.32949671813956244
stage2,smooth,1000,50,mlp,0,100,0,0,0.0647342222068096,0.0771573505233363,0.0421964766476437,0.0385897544231549,0.6,0.1512690576832578,6.602201269002398,2.6922448305293147,0.8639882895935513,0.0042196476647643,smooth_n1000_p50,0.0647342222068096,0.35,6.0,3.0,6.0,1.5244794265751682
stage2,smooth,1000,50,lasso,0,100,0,0,0.2273833257829213,0.2297392559002549,0.0329822244366353,0.0354113898367303,0.0,0.1388100974449984,0.1070757660001982,2.378540222054482,0.6260116049415941,0.0032982224436635,smooth_n1000_p50,0.2273833257829213,0.95,7.0,1.0,7.0,1.2200588446893017
stage2,smooth,1000,100,tabiclv2_1,1,100,0,0,-0.0072129572693743,0.0379411639395885,0.0374368851835104,0.0351057657914409,0.91,0.137612073201845,4.910811087006005,0.3629240889877297,0.0599085587651272,0.003743688518351,smooth_n1000_p100,0.0072129572693743,0.0399999999999999,1.0,2.0,2.0,0.14646682353039187
stage2,smooth,1000,100,tabiclv2_8,8,100,0,0,-0.0073400515806055,0.0381945551847418,0.0376714623999098,0.0353997417772599,0.92,0.1387644378908947,15.290129200000084,0.3795247272917106,0.0572899295982006,0.0037671462399909,smooth_n1000_p100,0.0073400515806055,0.0299999999999999,2.0,4.0,1.0,0.14665112918786363
stage2,smooth,1000,100,ensemble,0,100,0,0,-0.0176007643027147,0.0430514806022194,0.0394871552827856,0.0364676916755273,0.9,0.1429507245666897,3704.273248066988,0.6459386427820906,0.1667496288534363,0.0039487155282785,smooth_n1000_p100,0.0176007643027147,0.0499999999999999,3.0,7.0,3.0,0.3275521384226412
stage2,smooth,1000,100,xgboost,0,100,0,0,-0.0181877762174934,0.0449991250496945,0.0413671178094271,0.0362757521608323,0.9,0.1421983354946648,832.2181185629976,0.6884085629131431,0.1986950186189481,0.0041367117809427,smooth_n1000_p100,0.0181877762174934,0.0499999999999999,4.0,5.0,3.0,0.3692955909559078
stage2,smooth,1000,100,random_forest,0,100,0,0,-0.0293372285767977,0.0494318833487547,0.0399853269910783,0.0371161067668272,0.86,0.1454924650186497,855.6759672350029,0.690826304272523,0.1755074432254039,0.0039985326991078,smooth_n1000_p100,0.0293372285767977,0.0899999999999999,5.0,6.0,5.0,0.34745769832782164
stage2,smooth,1000,100,mlp,0,100,0,0,0.061958483808505,0.0754749388471762,0.0433171610630455,0.0368860782024491,0.63,0.1445907696154564,6.291909122008365,2.9117405061950823,1.0464993782914294,0.0043317161063045,smooth_n1000_p100,0.061958483808505,0.3199999999999999,6.0,3.0,6.0,1.7449999747007292
stage2,smooth,1000,100,lasso,0,100,0,0,0.2244436557847446,0.2272953507290304,0.0360726237310291,0.0352989633707681,0.0,0.1383693937966083,0.1226305330020841,2.398274009954439,0.6362368708180162,0.0036072623731029,smooth_n1000_p100,0.2244436557847446,0.95,7.0,1.0,7.0,1.235108387284316
stage2,tree,2000,10,xgboost,0,100,0,0,-0.0502880598014892,0.0566005353337871,0.0261064572969816,0.0236390962146012,0.42,0.092663554415391,54.99382433399791,0.279678387204942,0.1273986587341167,0.0026106457296981,tree_n2000_p10,0.0502880598014892,0.53,1.0,5.0,1.0,0.18857013758692776
stage2,tree,2000,10,ensemble,0,100,0,0,-0.0641166086401661,0.0685315381769202,0.0243217536037612,0.0236548151668037,0.24,0.0927251715757744,1054.081731421008,0.2523272608909928,0.1268351180211837,0.0024321753603761,tree_n2000_p10,0.0641166086401661,0.71,2.0,7.0,2.0,0.17868511746662338
stage2,tree,2000,10,lasso,0,100,0,0,-0.0726567444590894,0.0759121243794943,0.022102792739453,0.0217996377813439,0.07,0.0854530098549057,0.0970407849992625,0.7242508798464737,0.4934293075719692,0.0022102792739453,tree_n2000_p10,0.0726567444590894,0.8799999999999999,3.0,1.0,4.0,0.597722673647374
stage2,tree,2000,10,mlp,0,100,0,0,-0.0736161737131664,0.0770124005686499,0.0227318316659256,0.0226475977647546,0.08,0.0887769519105377,11.181407200008396,0.7151917663858797,0.4342515866384266,0.0022731831665925,tree_n2000_p10,0.0736161737131664,0.87,4.0,4.0,3.0,0.5571317261504827
stage2,tree,2000,10,tabiclv2_1,1,100,0,0,-0.0974378915932741,0.0999746805943666,0.0224911664321299,0.0229882585566841,0.01,0.0901123176767913,4.318975861992222,0.2395360462230684,0.1857111763351877,0.0022491166432129,tree_n2000_p10,0.0974378915932741,0.94,5.0,2.0,5.0,0.21067070549485173
