scenario,n,p,best_traditional_learner,best_traditional_rmse,best_traditional_coverage,best_traditional_runtime_seconds,tabiclv2_rmse,tabiclv2_coverage,tabiclv2_runtime_seconds,rmse_difference_tab_minus_traditional,tabiclv2_improvement_percent,tabiclv2_wins
smooth,2000,50,xgboost,0.019639562171485,1.0,239.9903038299992,0.0219000286704428,0.95,4.434090719999949,0.0022604664989578013,-11.50976014241198,False
smooth,2000,100,ensemble,0.0313830671264928,0.85,75406.934334835,0.0276222400121201,0.9,5.292477649999728,-0.0037608271143727036,11.983618743235924,True
smooth,5000,10,ensemble,0.012317324204195,1.0,1251.0710440449911,0.0116335688527865,1.0,4.505981500000144,-0.0006837553514085007,5.551167932850458,True
smooth,5000,50,ensemble,0.0164830390143627,0.9,5277.132300869993,0.0151832017072593,0.9,6.135069204999946,-0.0012998373071033999,7.885908089950951,True
smooth,5000,100,ensemble,0.0127615810234757,1.0,10312.587360220004,0.0152353725682282,0.95,8.166965155000161,0.0024737915447524995,-19.384679219618715,False
tree,500,10,lasso,0.0885547163842436,0.6,0.0653320099925622,0.1048572876067737,0.45,3.585968589999993,0.016302571222530093,-18.40960243358736,False
tree,500,50,lasso,0.0866970630089338,0.5,0.0734618249960476,0.1032463942514838,0.45,3.7798293899999407,0.016549331242549994,-19.08868728441775,False
tree,500,100,lasso,0.0999760530112003,0.55,0.0855224100116174,0.1134129395875249,0.35,3.978415169999789,0.013436886576324594,-13.440105076781999,False
tree,1000,10,lasso,0.0775939775863245,0.45,0.0652127699955599,0.1077704252335161,0.25,3.670059415000014,0.0301764476471916,-38.89019300965702,False
tree,1000,50,lasso,0.0757419320056049,0.25,0.074742885006708,0.0951335708664667,0.2,4.200509425000109,0.0193916388608618,-25.602250097643164,False
tree,1000,100,lasso,0.0853612776847524,0.25,0.0925388099974952,0.102426361664101,0.05,4.491216160000112,0.017065083979348597,-19.991598582171683,False
tree,2000,10,xgboost,0.0611633577691939,0.4,46.2988462850044,0.102878217248953,0.0,3.787432069999977,0.04171485947975911,-68.20236985218231,False
tree,2000,50,lasso,0.073004012156967,0.2,0.0868109399918466,0.1044560686930335,0.0,4.420401280000169,0.0314520565360665,-43.082641086137805,False
tree,2000,100,lasso,0.0726888732904432,0.15,0.1372069650067715,0.097823762703202,0.0,5.388525400000162,0.025134889412758807,-34.578730244348726,False
tree,5000,10,xgboost,0.0319288621849554,0.5,56.60692001500574,0.0870250773525441,0.0,4.608538995000072,0.0550962151675887,-172.55928146900752,False
tree,5000,50,lasso,0.0693479878177455,0.0,0.1573099349916447,0.1068404056255841,0.0,6.186387970000124,0.0374924178078386,-54.06417545433762,False
tree,5000,100,lasso,0.0737587253823271,0.0,0.2571271849941695,0.1110065107168865,0.0,8.190325464999933,0.0372477853345594,-50.49949703101042,False
