stage,scenario,n,p,learner,tabicl_estimators,success_count,failure_count,oom_count,bias,rmse,empirical_sd,mean_standard_error,coverage,mean_interval_length,mean_runtime_seconds,mean_l_mse,mean_m_mse,bias_mcse
stage1,mixed,1000,10,xgboost,0,20,0,0,-0.017126016644765395,0.039617033373030006,0.03665211830114385,0.033116176709216696,0.95,0.12981302731145775,37.72927884500823,0.30613779747010555,0.1336478724247876,0.008195662804072175
stage1,mixed,1000,50,ensemble,0,20,0,0,-0.0003108497145542899,0.03288460212340629,0.03373738250336902,0.03531551208090454,1.0,0.13843426354832417,1370.524998564992,0.3831103852730232,0.13001106200618773,0.007543908066044516
stage1,mixed,1000,50,lasso,0,20,0,0,0.05239476532601597,0.07282408340962924,0.05189194938964246,0.05024890458336667,0.8,0.19697208649197667,0.08549785999639425,1.3255845273102242,0.20531963561851213,0.011603392632021925
stage1,mixed,1000,50,mlp,0,20,0,0,-0.06706772191721562,0.07852156182704544,0.04189656874021715,0.04666338553614692,0.7,0.18291711009511052,6.22185596000345,1.6871453034318962,0.4408003155076045,0.009368357572711827
stage1,mixed,1000,50,random_forest,0,20,0,0,-0.01848092847133409,0.04051757787098163,0.03699401657691621,0.0351497994396779,0.95,0.1377846819311497,194.76180812001112,0.43156985840597545,0.14840886299804695,0.008272113582673872
stage1,mixed,1000,50,tabiclv2,1,20,0,0,0.001309345667618317,0.03295497515545317,0.03378439380323133,0.032947993041945865,0.95,0.12915375945018043,4.34888173499985,0.14315932956466326,0.0526987042919841,0.00755442011226479
stage1,mixed,1000,50,xgboost,0,20,0,0,-0.022291259098227677,0.04285062757710136,0.037546827626412003,0.03456049492298899,0.85,0.13547465067387557,197.4447433449881,0.42010849617602386,0.16569936956212414,0.008395725891212432
stage1,mixed,1000,100,ensemble,0,20,0,0,0.0024169232860399405,0.03411941915021814,0.03491784711784099,0.03476000443522469,0.95,0.1362567135909859,4468.724153760008,0.39561874454889434,0.13053399314191527,0.007807867978343755
stage1,mixed,1000,100,lasso,0,20,0,0,0.04403988970196297,0.06550631979361753,0.04975271532333554,0.04792454990427814,0.95,0.1878607835753553,0.11325170499621891,1.314074046541881,0.20561064307101126,0.01112504535281737
stage1,mixed,1000,100,mlp,0,20,0,0,-0.12527538668024268,0.13077016631103117,0.038483268943247904,0.04273643140327381,0.15,0.1675237327563664,7.764851964995614,1.9391020500501752,0.6582395989491983,0.00860512053535088
stage1,mixed,1000,100,random_forest,0,20,0,0,-0.01718946898673006,0.03544931998717215,0.03180824857448091,0.034589195112771,0.95,0.13558715335052002,365.81120644999316,0.44219548052715674,0.15070509295498868,0.00711254060577501
stage1,mixed,1000,100,tabiclv2,1,20,0,0,-0.005929423484504886,0.028112241291597957,0.02819369185844363,0.03265923639031106,1.0,0.12802185417517925,4.430392050000227,0.15369147830002428,0.05717183909217016,0.006304301153216233
stage1,mixed,1000,100,xgboost,0,20,0,0,-0.01980665299511275,0.04262143165986097,0.03872008772645823,0.034705683745084544,0.95,0.1360437803984058,373.0344111750019,0.44871196103973876,0.16282614802806172,0.008658074825111587
stage1,mixed,2000,10,ensemble,0,20,0,0,-0.02100216164774978,0.033474686017072756,0.026743692026805616,0.02327556207443162,0.85,0.0912385267716247,493.03896516000094,0.1435889448475347,0.056593013532868885,0.005980071334125648
stage1,mixed,2000,10,lasso,0,20,0,0,0.011308629024320555,0.04520907612268,0.04490897780899739,0.03552072411598885,0.85,0.13923867994424297,0.082226864999393,1.2434556624798274,0.1727252551071878,0.010041952718094773
stage1,mixed,2000,10,mlp,0,20,0,0,-0.05499733680386405,0.06030686441817403,0.025385674377788756,0.023590907020809522,0.4,0.09247465624683954,13.363929954991908,0.23098322613857097,0.13914898861235941,0.005676409356341033
stage1,mixed,2000,10,random_forest,0,20,0,0,-0.027114634158359685,0.038188465039958215,0.027590148443285924,0.024167444661513302,0.75,0.09473464226986175,100.38047021001402,0.24105491929735967,0.06822108672346952,0.0061693447428497325
stage1,mixed,2000,10,tabiclv2,1,20,0,0,-0.01648546752729425,0.02920694091093661,0.024735969075129385,0.022868370297306158,0.9,0.08964236433569121,3.8026240600002894,0.05968236704701961,0.021891492966682198,0.005531130834132191
stage1,mixed,2000,10,xgboost,0,20,0,0,-0.024146817671719133,0.036248451158389566,0.027737138464917516,0.023139940616546957,0.8,0.09070690042565523,44.96228341498645,0.17953429051868214,0.07865513266159849,0.006202212710887973
stage1,mixed,2000,50,ensemble,0,20,0,0,-0.012220844938018166,0.02792902819568692,0.02576577830248958,0.024205030190965763,0.85,0.09488197483799513,6551.801460025012,0.2376095084880069,0.07985430087083954,0.005761403177755584
stage1,mixed,2000,50,lasso,0,20,0,0,0.019495475758042502,0.04865808913152428,0.04573995216552096,0.036804906654090905,0.8,0.1442725829927535,0.098524909990374,1.2506103073820305,0.18585648951686543,0.010227764232969358
stage1,mixed,2000,50,mlp,0,20,0,0,-0.08964586419559731,0.09609625158086689,0.035512912411029614,0.03275063254250757,0.2,0.12838012050844058,9.35876924501208,1.3285956322845685,0.3492684512883458,0.007940928623005817
stage1,mixed,2000,50,random_forest,0,20,0,0,-0.02436328937982373,0.03613977579896011,0.027386387809583745,0.02465595691238611,0.85,0.09664957510529633,419.7500348600035,0.31093869666467844,0.09224256988802673,0.006123782480040082
stage1,mixed,2000,50,tabiclv2,1,20,0,0,-0.002294833700400184,0.02196679021190322,0.022414131127747698,0.02284176416796612,0.95,0.08953807022514224,4.415776610000103,0.08587175971662117,0.02940399017655528,0.005011952085823787
stage1,mixed,2000,50,xgboost,0,20,0,0,-0.0182559714326558,0.03004940702630615,0.02448815760370441,0.023620965393860847,0.9,0.09259248290406848,236.533464570035,0.250078910041151,0.09925669979807711,0.005475718504561141
stage1,mixed,2000,100,ensemble,0,20,0,0,-0.006581486741895698,0.023477020069532447,0.02312106589264614,0.024318163516150734,1.0,0.09532544932362272,6102.495120205009,0.25604908432394774,0.08872600679579493,0.005170027504820862
stage1,mixed,2000,100,lasso,0,20,0,0,0.0441471934970242,0.056603490175926245,0.03634600400004153,0.035814055014763486,0.7,0.14038851593854512,0.14262742500868625,1.2755501786159,0.1842015069618778,0.008127213565457213
stage1,mixed,2000,100,mlp,0,20,0,0,-0.11918500921454518,0.12271487008332277,0.029980220112523177,0.03196694694607847,0.0,0.12530812942003294,11.978020869998726,1.7186112731165317,0.4902645057774748,0.006703781015200821
